LOCATION,ORIENTATION,WFR,I/D TEMP. in F,NO of Occupant sf/person ,POWER Consum. In kwh,ASHRAE 7-Point ,THERMAL FEELING 
KOTA,NORTH,>30%,78,624,571.16,1,Slightly warm
KOTA,NNW,>30%,78,624,569.48,1,Slightly warm
KOTA,NW,>30%,78,624,566.32,1,Slightly warm
KOTA,WNW,>30%,78,624,555.95,1,Slightly warm
KOTA,WEST,>30%,78,624,558.06,1,Slightly warm
KOTA,WSW,>30%,78,624,560.74,1,Slightly warm
KOTA,SW,>30%,78,624,567.31,1,Slightly warm
KOTA,SSW,>30%,78,624,566.67,1,Slightly warm
KOTA,SOUTH,>30%,78,624,571.27,1,Slightly warm
KOTA,SSE,>30%,78,624,569.29,1,Slightly warm
KOTA,SE,>30%,78,624,566.53,1,Slightly warm
KOTA,ESE,>30%,78,624,556.16,1,Slightly warm
KOTA,EAST,>30%,78,624,558.21,1,Slightly warm
KOTA,ENE,>30%,78,624,560.55,1,Slightly warm
KOTA,NE,>30%,78,624,567.31,1,Slightly warm
KOTA,NNE,>30%,78,624,566.52,1,Slightly warm
KOTA,NORTH,>30%,78,750,512.86,1,Slightly warm
KOTA,NNW,>30%,78,750,511.45,1,Slightly warm
KOTA,NW,>30%,78,750,508.32,1,Slightly warm
KOTA,WNW,>30%,78,750,498.24,1,Slightly warm
KOTA,WEST,>30%,78,750,501.71,1,Slightly warm
KOTA,WSW,>30%,78,750,502.69,1,Slightly warm
KOTA,SW,>30%,78,750,509.26,1,Slightly warm
KOTA,SSW,>30%,78,750,508.59,1,Slightly warm
KOTA,SOUTH,>30%,78,750,512.97,1,Slightly warm
KOTA,SSE,>30%,78,750,511.27,1,Slightly warm
KOTA,SE,>30%,78,750,508.53,1,Slightly warm
KOTA,ESE,>30%,78,750,498.45,1,Slightly warm
KOTA,EAST,>30%,78,750,501.87,1,Slightly warm
KOTA,ENE,>30%,78,750,502.51,1,Slightly warm
KOTA,NE,>30%,78,750,509.26,1,Slightly warm
KOTA,NNE,>30%,78,750,508.54,1,Slightly warm
KOTA,NORTH,>30%,78,250,715.8,1,Slightly warm
KOTA,NNW,>30%,78,250,710.47,1,Slightly warm
KOTA,NW,>30%,78,250,707.08,1,Slightly warm
KOTA,WNW,>30%,78,250,693.9,1,Slightly warm
KOTA,WEST,>30%,78,250,702.82,1,Slightly warm
KOTA,WSW,>30%,78,250,701.72,1,Slightly warm
KOTA,SW,>30%,78,250,708.3,1,Slightly warm
KOTA,SSW,>30%,78,250,707.34,1,Slightly warm
KOTA,SOUTH,>30%,78,250,715.91,1,Slightly warm
KOTA,SSE,>30%,78,250,710.28,1,Slightly warm
KOTA,SE,>30%,78,250,707.29,1,Slightly warm
KOTA,ESE,>30%,78,250,694.11,1,Slightly warm
KOTA,EAST,>30%,78,250,702.97,1,Slightly warm
KOTA,ENE,>30%,78,250,701.51,1,Slightly warm
KOTA,NE,>30%,78,250,708.3,1,Slightly warm
KOTA,NNE,>30%,78,250,707.29,1,Slightly warm
KOTA,NORTH,>30%,71.6,624,624.91,-1,Slightly cool
KOTA,NNW,>30%,71.6,624,621.2,-1,Slightly cool
KOTA,NW,>30%,71.6,624,616.61,-1,Slightly cool
KOTA,WNW,>30%,71.6,624,604.3,-1,Slightly cool
KOTA,WEST,>30%,71.6,624,611.31,-1,Slightly cool
KOTA,WSW,>30%,71.6,624,612.78,-1,Slightly cool
KOTA,SW,>30%,71.6,624,619.19,-1,Slightly cool
KOTA,SSW,>30%,71.6,624,617.54,-1,Slightly cool
KOTA,SOUTH,>30%,71.6,624,625.05,-1,Slightly cool
KOTA,SSE,>30%,71.6,624,620.92,-1,Slightly cool
KOTA,SE,>30%,71.6,624,616.86,-1,Slightly cool
KOTA,ESE,>30%,71.6,624,604.55,-1,Slightly cool
KOTA,EAST,>30%,71.6,624,611.47,-1,Slightly cool
KOTA,ENE,>30%,71.6,624,612.46,-1,Slightly cool
KOTA,NE,>30%,71.6,624,619.17,-1,Slightly cool
KOTA,NNE,>30%,71.6,624,617.44,-1,Slightly cool
KOTA,NORTH,>30%,71.6,750,565.15,-1,Slightly cool
KOTA,NNW,>30%,71.6,750,561.85,-1,Slightly cool
KOTA,NW,>30%,71.6,750,557.56,-1,Slightly cool
KOTA,WNW,>30%,71.6,750,545.65,-1,Slightly cool
KOTA,WEST,>30%,71.6,750,554.21,-1,Slightly cool
KOTA,WSW,>30%,71.6,750,553.5,-1,Slightly cool
KOTA,SW,>30%,71.6,750,559.92,-1,Slightly cool
KOTA,SSW,>30%,71.6,750,558.3,-1,Slightly cool
KOTA,SOUTH,>30%,71.6,750,565.58,-1,Slightly cool
KOTA,SSE,>30%,71.6,750,561.64,-1,Slightly cool
KOTA,SE,>30%,71.6,750,557.81,-1,Slightly cool
